Importing country,Product,Value of the trade flow (thousands current USD),Quantity (in metric tons),Exporter
Tuvalu,Copper and articles thereof,0.806,0.21300000000000002,Pacific
Tuvalu,Iron and steel,435.4559999999999,686.462,Pacific
Tuvalu,"Mineral fuels, mineral oils and products of their distillation",3415.6969999999997,5909.125,Pacific
Tuvalu,Miscellaneous articles of base metal,117.701,163.326,Pacific
Tuvalu,Zinc and articles thereof,4.75,0.157,Pacific
USA,Aluminium and articles thereof,63.337,21.053,Pacific
USA,Articles of iron or steel,226.104,27.987000000000002,Pacific
USA,Copper and articles thereof,70.788,24.688,Pacific
USA,Iron and steel,982.214,4808.0,Pacific
USA,"Mineral fuels, mineral oils and products of their distillation",540.9300000000001,1720.9499999999998,Pacific
USA,Miscellaneous articles of base metal,24.052000000000003,0.895,Pacific
USA,Nickel and articles thereof,3.663,0.001,Pacific
USA,"Ores, slag and ash",12.146,6.0,Pacific
USA,Other base metals; cermets; articles thereof,21.809,0.107,Pacific
United Arab Emirates,Aluminium and articles thereof,2.135,0.049,Pacific
United Arab Emirates,Articles of iron or steel,7.119,8.193,Pacific
United Arab Emirates,Copper and articles thereof,13.435,5.894,Pacific
United Arab Emirates,Gold,524.798,0.018,Pacific
United Arab Emirates,Iron and steel,23.91,65.06800000000001,Pacific
United Kingdom,Articles of iron or steel,398.754,420.834,Pacific
United Kingdom,"Mineral fuels, mineral oils and products of their distillation",10.05,0.012,Pacific
United Kingdom,Miscellaneous articles of base metal,4.21,0.074,Pacific
United Kingdom,Nickel and articles thereof,2.395,0.01,Pacific
Vanuatu,Aluminium and articles thereof,67.533,13.293,Pacific
Vanuatu,Articles of iron or steel,369.08400000000006,189.93600000000004,Pacific
Vanuatu,Copper and articles thereof,7.778,1.448,Pacific
Vanuatu,Iron and steel,353.722,214.45499999999998,Pacific
Vanuatu,"Mineral fuels, mineral oils and products of their distillation",1564.646,2378.096,Pacific
Vanuatu,Miscellaneous articles of base metal,8.149000000000001,5.1,Pacific
Viet Nam,Aluminium and articles thereof,0.063,0.018,Pacific
Wallis and Futuna Isds,Aluminium and articles thereof,28.311999999999998,14.395999999999999,Pacific
Wallis and Futuna Isds,Articles of iron or steel,41.904,9.73,Pacific
Wallis and Futuna Isds,Iron and steel,90.17500000000001,78.95700000000002,Pacific
Wallis and Futuna Isds,"Mineral fuels, mineral oils and products of their distillation",6187.683000000001,11147.986,Pacific
Wallis and Futuna Isds,Miscellaneous articles of base metal,1.498,1.783,Pacific
Zambia,Articles of iron or steel,0.092,0.01,Pacific
Zambia,Miscellaneous articles of base metal,0.017,0.075,Pacific
Zimbabwe,Aluminium and articles thereof,0.081,0.086,Pacific
Zimbabwe,Articles of iron or steel,0.434,0.464,Pacific
Zimbabwe,Miscellaneous articles of base metal,0.052,0.057,Pacific
