Year,Exporting country,Importing country,Product,Value of the trade flow (thousands current USD),Quantity (in metric tons),description,Product category,hs4,hs2
2019,Fiji,New Zealand,"Mineral fuels, mineral oils and products of their distillation",431.196,848.905,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Fiji,New Zealand,"Mineral fuels, mineral oils and products of their distillation",396.504,624.073,Bituminous or oil shale and tar sands,271410,2714,27
2019,Fiji,New Zealand,"Mineral fuels, mineral oils and products of their distillation",44.961,38.869,"Bitumen and asphalt, natural: asphaltites and asphaltic rock",271490,2714,27
2019,Fiji,Norfolk Isds,"Mineral fuels, mineral oils and products of their distillation",2715.113,5079.245,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Fiji,FS Micronesia,"Mineral fuels, mineral oils and products of their distillation",157.273,161.0,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Fiji,Marshall Isds,"Mineral fuels, mineral oils and products of their distillation",50.12,33.2,"Oils: petroleum oils and oils obtained from bituminous minerals, crude",270900,2709,27
2019,Fiji,Marshall Isds,"Mineral fuels, mineral oils and products of their distillation",1132.833,2014.257,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Fiji,Marshall Isds,"Mineral fuels, mineral oils and products of their distillation",38.917,60.967,"Petroleum gases and other gaseous hydrocarbons: liquefied, propane",271112,2711,27
2019,Fiji,Marshall Isds,"Mineral fuels, mineral oils and products of their distillation",39.101,54.12,Bituminous or oil shale and tar sands,271410,2714,27
2019,Fiji,Papua New Guinea,"Mineral fuels, mineral oils and products of their distillation",17.175,8.36,"Oils: petroleum oils and oils obtained from bituminous minerals, crude",270900,2709,27
2019,Fiji,Papua New Guinea,"Mineral fuels, mineral oils and products of their distillation",7.512,3.324,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Fiji,Papua New Guinea,"Mineral fuels, mineral oils and products of their distillation",0.198,0.021,Petroleum jelly,271210,2712,27
2019,Fiji,Singapore,"Mineral fuels, mineral oils and products of their distillation",21.93,8.36,"Oils: petroleum oils and oils obtained from bituminous minerals, crude",270900,2709,27
2019,Fiji,Singapore,"Mineral fuels, mineral oils and products of their distillation",5039.358,8869.974,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Fiji,Tonga,"Mineral fuels, mineral oils and products of their distillation",24.844,32.5,"Oils: petroleum oils and oils obtained from bituminous minerals, crude",270900,2709,27
2019,Fiji,Tonga,"Mineral fuels, mineral oils and products of their distillation",42646.146,76082.011,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Fiji,Tonga,"Mineral fuels, mineral oils and products of their distillation",0.616,0.005,"Petroleum gases and other gaseous hydrocarbons: in gaseous state, other than natural gas",271129,2711,27
2019,Fiji,Tonga,"Mineral fuels, mineral oils and products of their distillation",1.112,0.211,Petroleum jelly,271210,2712,27
2019,Fiji,Tonga,"Mineral fuels, mineral oils and products of their distillation",253.746,292.02,"Bitumen and asphalt, natural: asphaltites and asphaltic rock",271490,2714,27
2019,Fiji,Tuvalu,"Mineral fuels, mineral oils and products of their distillation",3313.935,5708.407,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",271000,2710,27
2019,Fiji,Tuvalu,"Mineral fuels, mineral oils and products of their distillation",9.013,17.0,"Petroleum gases and other gaseous hydrocarbons: in gaseous state, natural gas",271121,2711,27
2019,Fiji,Tuvalu,"Mineral fuels, mineral oils and products of their distillation",80.002,172.68,"Petroleum gases and other gaseous hydrocarbons: in gaseous state, other than natural gas",271129,2711,27
